"Host","combined_ICC","country_ICC","NUTS3_ICC","spatial_variance_at_NUTS3","MOR_country","MOR_NUTS3","MOR_combined"
"Wild birds",0.252,0.0947,0.158,0.625,1.85,2.21,2.73
"Poultry",0.467,0.171,0.297,0.635,2.66,3.64,5.05
