"Host","variance_country","variance_NUTS3","latent_residual_variance","total_latent_variance","ICC_country","ICC_NUTS3","ICC_combined","spatial_share_country","spatial_share_NUTS3","MOR_country","MOR_NUTS3","MOR_combined"
"Wild birds",0.416485374447533,0.693785455255809,3.28986813369645,4.40013896339979,0.0946527775399468,0.157673532819462,0.252326310359408,0.375120523123908,0.624879476876092,1.85074473891401,2.21337068213673,2.73215230174681
"Poultry",1.05295167963041,1.83182205412594,3.28986813369645,6.1746418674528,0.170528380792517,0.296668550735173,0.467196931527689,0.365003212317566,0.634996787682434,2.66126448490528,3.63648333376647,5.05367874627397
