"Host","Effect","beta","SE","OR","OR_low","OR_high","p_value"
"Wild birds","Migration intensity",0.234753245237949,0.0153658341610415,1.26459668497631,1.22707858518364,1.30326190593061,1.078205905397e-52
"Wild birds","Spring vs autumn",-0.132901767271856,0.0290858140409862,0.875551095657276,0.827033594386811,0.926914851234103,4.89359330481755e-06
"Wild birds","Distance to surface water",-0.0645184981746349,0.0371329414605497,0.937518771715685,0.871709490709208,1.008296292156,0.0822988951903503
"Wild birds","Distance to poultry production",-0.0108420379596962,0.03655624584674,0.989216525095156,0.92081854671493,1.06269507386918,0.766783285077037
"Poultry","Migration intensity",0.0237123318243629,0.017182738887949,1.02399570454103,0.990083657997387,1.0590692962647,0.167583918317875
"Poultry","Spring vs autumn",-0.231787681128856,0.0474025204641432,0.793114498606457,0.722746586349307,0.870333557820165,1.00951066451761e-06
"Poultry","Distance to surface water",0.130067308984697,0.0681869195704633,1.13890503928664,0.996427343803892,1.30175541305476,0.0564544292853542
"Poultry","Distance to poultry production",-0.179550437795471,0.0726980967022089,0.835645801748175,0.72467013973948,0.963616227143556,0.0135185083582621
