"season2","year_c.trend","SE","df","lower.CL","upper.CL","Host"
"autumn",-0.334449090734633,0.0430502479719856,2697.85933805988,-0.418863897762655,-0.25003428370661,"Wild birds"
"spring",0.13477169762515,0.054770878135784,2749.72103871408,0.0273754760574411,0.242167919192858,"Wild birds"
"autumn",-0.224997915886961,0.0747464319092542,1178.99500522493,-0.371648780564349,-0.0783470512095739,"Poultry"
"spring",-0.0773920072092838,0.0940520927358392,1171.09687146688,-0.261921435094265,0.107137420675697,"Poultry"
