"Host","country_variance","NUTS3_variance","country_ICC_percent","NUTS3_ICC_percent","combined_ICC_percent","percent_spatial_variance_country","percent_spatial_variance_NUTS3","MOR_country","MOR_NUTS3","MOR_combined"
"Wild birds",0.416485374447533,0.693785455255809,9.46527775399468,15.7673532819461,25.2326310359408,37.5120523123908,62.4879476876092,1.85074473891401,2.21337068213673,2.73215230174681
"Poultry",1.05295167963041,1.83182205412594,17.0528380792517,29.6668550735173,46.7196931527689,36.5003212317566,63.4996787682434,2.66126448490528,3.63648333376647,5.05367874627397
