"model","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","Host"
"m_wild_linear",18,48942.415854331,49136.7430822842,-24453.2079271655,48906.415854331,NA,NA,NA,"Wild birds"
"m_wild_final",20,48502.689481642,48718.6086238123,-24231.344740821,48462.689481642,443.726372688987,2,4.42631617950528e-97,"Wild birds"
"m_capt_linear",18,21330.3401637886,21524.6673917418,-10647.1700818943,21294.3401637886,NA,NA,NA,"Poultry"
"m_capt_final",20,21199.1239014043,21415.0430435746,-10579.5619507022,21159.1239014043,135.216262384231,2,4.34672026085687e-30,"Poultry"
