"spline_df","AIC","BIC","logLik","delta_AIC"
5,94761.3912224871,95149.9334561696,-47347.6956112435,0
4,94763.9587083608,95105.4049137181,-47352.9793541804,2.56748587370384
3,94842.0580806557,95136.4082576879,-47396.0290403279,80.6668581686681
