"model","n","convergence_code","positive_definite_hessian","AIC","BIC","logLik"
"Migration-relative timing",959346,0,TRUE,94763.9587083608,95105.4049137181,-47352.9793541804
"Migration intensity",807026,0,TRUE,80512.63335538,80733.0544675117,-40237.31667769
