"model","npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)","Host"
"lag_wild_basic",7,16766.022191787,16807.6435589773,-8376.0110958935,16752.022191787,NA,NA,NA,"Wild birds"
"lag_wild_region",19,16502.3809579637,16615.3532403374,-8232.19047898186,16464.3809579637,287.641233823284,12,1.83941760117775e-54,"Wild birds"
"lag_capt_basic",7,7397.5315311476,7433.19698178861,-3691.7657655738,7383.5315311476,NA,NA,NA,"Poultry"
"lag_capt_region",19,7268.35478638905,7365.16100955751,-3615.17739319453,7230.35478638905,153.176744758546,12,1.2842051152171e-26,"Poultry"
