"Host","combined_ICC","NUTS3_share_of_spatial_variance","country_MOR","NUTS3_MOR","combined_MOR"
"Wild birds",0.252,0.625,1.85,2.21,2.73
"Poultry",0.467,0.635,2.66,3.64,5.05
