"Host","variable","beta","SE","z","p","OR","OR_low","OR_high"
"Wild birds","Migration intensity (per 1 SD)",0.234753245237949,0.0153658341610415,15.2776115359323,1.078205905397e-52,1.26459668497631,1.22707926425842,1.30326118469579
"Wild birds","Spring vs autumn",-0.132901767271856,0.0290858140409862,-4.56929852761135,4.89359330481755e-06,0.875551095657276,0.827034460737185,0.926913880255183
"Wild birds","Distance to surface water (per 1 SD)",-0.0645184981746349,0.0371329414605497,-1.73750033358332,0.0822988951903503,0.937518771715685,0.871710656499362,1.0082949437018
"Wild birds","Distance to poultry production (per 1 SD)",-0.0108420379596962,0.03655624584674,-0.296585103545667,0.766783285077037,0.989216525095156,0.920819759056226,1.06269367473639
"Poultry","Migration intensity (per 1 SD)",0.0237123318243629,0.017182738887949,1.3800088553399,0.167583918317875,1.02399570454103,0.99008427070515,1.05906864086596
"Poultry","Spring vs autumn",-0.231787681128856,0.0474025204641432,-4.88977545622679,1.00951066451761e-06,0.793114498606457,0.722747820240373,0.870332071967463
"Poultry","Distance to surface water (per 1 SD)",0.130067308984697,0.0681869195704633,1.90751114442539,0.0564544292853542,1.13890503928664,0.996429790816498,1.30175221622952
"Poultry","Distance to poultry production (per 1 SD)",-0.179550437795471,0.0726980967022089,-2.4698093339494,0.0135185083582621,0.835645801748175,0.724672037113463,0.963613704153478
