"Host","term","beta","SE","z","p","OR","OR_low","OR_high"
"Wild birds","(Intercept)",-12.1542557717443,0.539079907969319,-22.5462971111808,1.46002547295557e-112,5.26591429731571e-06,1.83066187503725e-06,1.51474468140708e-05
"Wild birds","ns(wso, df = 3)1",1.95071533520033,0.0890610484547383,21.9031256542157,2.42557536865497e-106,7.03371724696203,5.90712286379764,8.37517340521426
"Wild birds","ns(wso, df = 3)2",4.92584280717293,0.348673698298214,14.1273713251521,2.57581043219144e-45,137.80543612339,69.5784516137066,272.93418845522
"Wild birds","ns(wso, df = 3)3",0.424634871834812,0.159596958598774,2.66067020050389,0.00779853016955019,1.52903202506896,1.1183233792979,2.09057503130648
"Wild birds","mig_sc",0.234753245237949,0.0153658341610415,15.2776115359323,1.078205905397e-52,1.26459668497631,1.22707926425842,1.30326118469579
"Wild birds","season2spring",-0.132901767271856,0.0290858140409862,-4.56929852761135,4.89359330481755e-06,0.875551095657276,0.827034460737185,0.926913880255183
"Wild birds","iso_year_f2016",3.99940539547329,0.504905684347524,7.92109401707689,2.35429833903321e-15,54.5656953757838,20.2835140139573,146.789905821745
"Wild birds","iso_year_f2017",4.33428270172121,0.503610161282072,8.6064242442749,7.53749232424896e-18,76.2702307586712,28.4237460224967,204.658038225392
"Wild birds","iso_year_f2018",2.35592948531384,0.523497106997655,4.50036772662507,6.78360067616887e-06,10.5479284512895,3.78064265445784,29.4285402727325
"Wild birds","iso_year_f2019",-14.2313512491503,615.409136376161,-0.0231250243260145,0.981550544495963,6.59785371737419e-07,0,Inf
"Wild birds","iso_year_f2020",4.07811457148335,0.504561578586704,8.08249130444356,6.34568646155984e-16,59.0340603547199,21.9593287551928,158.703406684988
"Wild birds","iso_year_f2021",5.52475726458263,0.50132679692964,11.0202712051676,3.05138329012883e-28,250.825446411447,93.8947804226248,670.041553793783
"Wild birds","iso_year_f2022",5.61240214021062,0.501242424556793,11.1969814709383,4.21863649855739e-29,273.801157452594,102.512530568539,731.29668545503
"Wild birds","iso_year_f2023",5.68671728712153,0.501176421962261,11.3467374719191,7.69817901875689e-30,294.923879403219,110.435269195515,787.611559928867
"Wild birds","iso_year_f2024",4.8692879289432,0.502254268916064,9.69486618690532,3.17053011836526e-22,130.228152174897,48.6614750739019,348.51741738474
"Wild birds","iso_year_f2025",6.17510226554055,0.500845884326014,12.3293461297987,6.29555016987684e-35,480.63217351654,180.091016525301,1282.72520571163
"Wild birds","water_sc",-0.0645184981746349,0.0371329414605497,-1.73750033358332,0.0822988951903503,0.937518771715685,0.871710656499362,1.0082949437018
"Wild birds","poul_sc",-0.0108420379596962,0.03655624584674,-0.296585103545667,0.766783285077037,0.989216525095156,0.920819759056226,1.06269367473639
"Poultry","(Intercept)",-12.3644966727857,0.426875468138679,-28.965114174162,1.81061334989439e-184,4.2674390156934e-06,1.84846089049503e-06,9.85199949120116e-06
"Poultry","ns(wso, df = 3)1",2.1426037326832,0.16057933156112,13.3429608396874,1.3018434525665e-40,8.5215967280959,6.22064765645142,11.6736415252491
"Poultry","ns(wso, df = 3)2",7.73969162569709,0.616366776340953,12.5569578419583,3.64063247426132e-36,2297.76370257849,686.519714911187,7690.55559252251
"Poultry","ns(wso, df = 3)3",2.36914016737241,0.200134538836868,11.8377376595827,2.49081397842748e-32,10.6881982704179,7.22020740675583,15.8219253038181
"Poultry","mig_sc",0.0237123318243629,0.017182738887949,1.3800088553399,0.167583918317875,1.02399570454103,0.99008427070515,1.05906864086596
"Poultry","season2spring",-0.231787681128856,0.0474025204641432,-4.88977545622679,1.00951066451761e-06,0.793114498606457,0.722747820240373,0.870332071967463
"Poultry","iso_year_f2016",1.6080820455555,0.24635221601507,6.52757288555152,6.68439830750881e-11,4.99322525946804,3.08095796016445,8.09238516531361
"Poultry","iso_year_f2017",2.14462226303658,0.23778453327644,9.01918318019159,1.89496906296982e-19,8.53881520191043,5.35790554256994,13.6081841072182
"Poultry","iso_year_f2018",0.0958454133714292,0.309754939887292,0.30942335707803,0.756999505200262,1.10058891451316,0.59973756396561,2.01971000572297
"Poultry","iso_year_f2019",-2.30697937877359,0.741948151450253,-3.10935390062532,0.00187496987267622,0.0995615354967642,0.0232564902814949,0.426225076548234
"Poultry","iso_year_f2020",1.56545269457515,0.247232855334821,6.33189586576225,2.42166915249861e-10,4.78484051702988,2.9472873422884,7.76805791716065
"Poultry","iso_year_f2021",3.19749062485137,0.229616532633234,13.9253501835546,4.44358241710521e-44,24.4710460511572,15.6028016430714,38.3797800251967
"Poultry","iso_year_f2022",3.43069709763882,0.22868450065352,15.0018785174981,7.13704205880765e-51,30.8981742883531,19.7367762974406,48.3714847838272
"Poultry","iso_year_f2023",2.37585786202262,0.235230428107508,10.1001298222217,5.51691067738447e-24,10.7602400291067,6.78568125890004,17.0628063810292
"Poultry","iso_year_f2024",2.42550142729517,0.234751481677826,10.3322092365914,5.03865188357611e-25,11.3078980867001,7.13774555497318,17.9144182367365
"Poultry","iso_year_f2025",3.1826719392462,0.229683273592179,13.8567858663373,1.15741999693768e-43,24.1110909311312,15.371282489473,37.820182296917
"Poultry","water_sc",0.130067308984697,0.0681869195704633,1.90751114442539,0.0564544292853542,1.13890503928664,0.996429790816498,1.30175221622952
"Poultry","poul_sc",-0.179550437795471,0.0726980967022089,-2.4698093339494,0.0135185083582621,0.835645801748175,0.724672037113463,0.963613704153478
